"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"edson",105901,"Edson","265","mei",1.62,2.3,6.3,0,1,2.3,0,1,0,4,0,0,0,3,1,0,0,"Dúvida",0.15,2.3
"ze-gabriel",105902,"Zé Gabriel","285","mei",2.31,1,6.4,0,1,1,0,1,10,12,29,0,0,6,1,0,0,"Nulo",0.44,1
"vinicius",105998,"Vinícius","267","ata",2.54,-1.9,-0.4,0,1,-1.9,0,1,2,0,6,0,0,3,0,0,0,"Nulo",-0.88,-1.9
"johnny",106002,"Johnny ","285","mei",2.55,3,7.3,0,1,3,0,1,1,7,15,0,0,3,1,0,0,"Nulo",0.61,3
"breno",106083,"Breno","290","mei",3.56,-1.7,11.6,0,1,-1.7,0,2,7,13,10,0,0,3,2,0,0,"Provável",-0.73,-1.7
"bruno-gomes",106202,"Bruno Gomes","267","mei",2.67,-3.6,4.7,0,1,-3.6,0,1,10,11,21,0,0,12,1,0,0,"Suspenso",-0.69,-3.6
"realpe",106299,"Realpe","Bragantino","zag",2.95,0,1.5,0,1,0,0,1,2,4,8,0,0,0,1,0,0,"Provável",-0.32,0
"caio-alexandre",106323,"Caio Alexandre","263","mei",5.54,2.8,17.2,0,1,0,2.8,4,10,13,32,0,1,14,3,1,0,"Provável",-0.07,2.8
"peglow",106821,"Peglow","285","mei",1.74,-1,4.1,0,1,-1,0,1,5,2,12,1,1,1,1,0,0,"Nulo",-0.33,-1
"luciano-juba",107093,"Luciano Juba","292","lat",1.93,5.4,5.9,0,1,0,5.4,1,9,9,56,1,0,1,0,0,0,"Dúvida",0.51,5.4
"patrick-de-paula",107172,"Patrick de Paula","275","mei",5.55,5,30.7,0,1,0,5,6,12,20,39,0,0,12,3,1,0,"Provável",0.29,5
"michel-araujo",107173,"Michel Araújo ","266","mei",6.51,1.4,30.3,0,1,1.4,0,11,18,20,41,0,1,33,7,0,0,"Provável",-0.16,1.4
"ignacio-jara",107318,"Ignacio Jara ","290","mei",2.93,8,8.2,0,1,8,0,2,3,0,5,0,0,2,0,1,0,"Nulo",1.71,8
"natanael",107554,"Natanael","294","lat",0.77,0,1.1,0,1,0,0,1,3,1,2,0,0,2,1,0,0,"Nulo",-0.09,0
"pintado",107565,"Pintado","290","lat",2.78,1.1,11.3,0,1,1.1,0,1,10,20,30,0,1,1,1,0,0,"Nulo",-0.31,1.1
"rildo",107798,"Rildo","284","mei",0.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nulo",-0.23,0
"alvarado",107991,"Alvarado","293","mei",4.24,1.9,2.6,0,1,1.9,0,0,2,4,4,0,0,0,0,0,0,"Nulo",0.23,1.9
"gabriel-lacerda",108176,"Gabriel Lacerda","354","zag",3.62,0.5,9.1,0,1,0,0.5,1,3,5,21,1,0,3,0,0,0,"Nulo",-0.58,0.5
"luiz-henrique",109282,"Luiz Henrique","266","ata",1.5,0.2,7.1,0,1,0.2,0,5,4,6,14,0,0,1,5,0,0,"Nulo",-0.48,0.2
"derick",109830,"Derick ","277","zag",0.77,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nulo",-0.23,0
